"name","description","description_url","company","position","salary","location"
"見習營業員","利嘉閣見習營業員 **專營一二手屋苑 無需經驗** <<<不需做街頭銷售>>>","http://hk.justjob.com/full/hk/job/view/110450/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n利嘉閣地產有限公司","職位\n營銷 - 營銷傳播","薪金\n底薪$8000+<<豐厚佣金>>","工作地點\n元朗區 - 元朗站步行1分"
"NEW Business Development Executive/ Senior Business Development Executive","On-job training provided/ welcome University Graduates/ Career in Business Development","http://hk.justjob.com/full/hk/job/view/114087/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nGenNex Financial Media Limited","職位\n營銷 - 一般 / 支持","薪金\n面議","工作地點\n中西區 - 中環"
"NEW Marketing Executive (Ref No: VCHK-JJ-ME-1015)","Marketing Executive (Ref No: VCHK-JJ-ME-1015)","http://hk.justjob.com/full/hk/job/view/114074/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nVerity Consulting Limited","職位\n營銷 - 營銷傳播","薪金\nHKD 19,000.00 〜 21,000.00 / 月薪","工作地點\n灣仔區"
"NEW 市場推廣主任（基督徒）","天道書樓正在招募基督精兵，一起同心服侍人群","http://hk.justjob.com/full/hk/job/view/114071/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n天道書樓","職位\n營銷 - 營銷傳播","薪金\n面議","工作地點\n九龍 - 鑽石山站步行5分"
"NEW Marketing Executive (Ref No: VCHK-JJ-ME-0926)","Marketing Executive (Ref No: VCHK-JJ-ME-0926)","http://hk.justjob.com/full/hk/job/view/113948/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nVerity Consulting Limited","職位\n營銷 - 營銷傳播","薪金\nHKD 19,000.00 〜 21,000.00 / 月薪","工作地點\n灣仔區"
"NEW Writer / Corporate Communications Officer (VCHK-JJ-CCO-1012)","Writer / Corporate Communications Officer (VCHK-JJ-CCO-1012)","http://hk.justjob.com/full/hk/job/view/114059/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nVerity Consulting Limited","職位\n公關 - 文案寫作","薪金\nHKD 14,000.00 〜 17,000.00 / 月薪","工作地點\n灣仔區"
"護膚品銷售顧問 Beauty Advisor","在商場專櫃/店鋪銷售國際護膚品牌產品 執行品牌銷售及推廣策略，達致公司預期銷售目標 需輪班，可放星期六/日，每天8-9小時工作 工作地點：尖沙咀 / 銅鑼灣","http://hk.justjob.com/full/hk/job/view/114051/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nPer Face","職位\n營銷 - 一般 / 支持","薪金\nHKD 15,000.00 〜 25,000.00 / 月薪","工作地點\n油尖旺區 - 尖沙咀站步行3分"
"China Business Development Supervisor","China Business Development Supervisor","http://hk.justjob.com/full/hk/job/view/114042/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nBAO SING DA LIMITED","職位\n營銷 - 營銷傳播","薪金\nHKD 28,000.00 〜 35,000.00 / 月薪","工作地點\n沙田區 - 石門站步行5分"
"網絡銷售員","招聘人才","http://hk.justjob.com/full/hk/job/view/113999/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n美國上市公司","職位\n營銷 - 營銷傳播","薪金\nHKD 15,000.00 〜 20,000.00 / 月薪","工作地點\n觀塘區 - 九龍灣站步行10分"
"助 理 人 力 資 源 顧 問","需要精通粵語和國語","http://hk.justjob.com/full/hk/job/view/113998/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nAIA International Ltd","職位\n營銷 - 市場調研","薪金\n面議","工作地點\n灣仔區 - 銅鑼灣站步行5分"
